cruise,permit,year,observer,vessel_name,gear_desc,haul_date,haul,size_est,visual_cue,total_haul_pss,census,sex_obs,photo_taken,wt,pcl,specimen_yn,specimen_num,notes,notes2,trip_join,haul_join,nmfs_area,gear,gear_description,performance,performance_description,official_total_catch_mt,vessel,vessel_length_ft,ifq_flag,duration_min,bottom_depth_fathoms,fishing_depth_fathoms,lat_dd_start,lon_dd_start,lat_dd_end,lon_dd_end,t_table,haul_seq,sample_type,percent_retained,date_of_entry,species_code,species_name,sex,sample_size,sample_number,sample_weight_kg,extrapolated_number,extrapolated_weight_kg,received_from_norpac,loaded_to_repository,sampID,ncf_lat,ncf_lon
23175,33989,2019,Tyler Allen,Blue North,NA,2019-01-14,5,M,"4,2",1,NA,NA,NA,NA,NA,N,NA,Deck form pg. 3,NA,'23175033989000000023','23175033989000002080',521,8,LONGLINER,1,NO PROBLEM,38.81,77788,191,N,835.2,60,NA,59.15333,-173.255,59.15667,-173.26667,ATL,2080,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,11169,1,0,3,43.35,11-Jul-22,13-Jul-22,62_2019_23175_33989_5_1,59.1756050689,-173.16262232
25404,33320,2022,Sarah Atkins,Nothern Leader,NA,2022-02-19,15,S,2,1,NA,NA,NA,NA,NA,NA,NA,I have premeasured points for halibut and the whole shark came out of the water. total length est: 86cm,NA,'25404033320000000003','25404033320000000015',517,8,LONGLINER,1,NO PROBLEM,44.09,A715,184,N,972,77,NA,55.47833,-167.81,55.47667,-167.79,ATL,15,L,0,17-May-22,62,PACIFIC SLEEPER SHARK,NA,11007,1,14.84,4,65.96,11-Jul-22,13-Jul-22,62_2022_25404_33320_15_2,55.4627154055,-167.844524472
22410,33320,2018,Dan Garatea,Northern Leader,NA,2018-01-26,18,L,2,1,Y,NA,NA,NA,NA,N,NA,animal broadside XXXXXX hook spacing of 1.2m,NA,'22410033320000000030','22410033320000001148',521,8,LONGLINER,1,NO PROBLEM,66.75,A715,184,N,1386,61,NA,59.635,-174.28,59.64,-174.315,ATL,1148,B,0,29-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7749,1,0,7,87.88,11-Jul-22,13-Jul-22,62_2018_22410_33320_18_3,59.6377116406,-174.403501136
22416,372,2018,Nick Paxton,US Liberator,NA,2018-01-21,25,L,NA,1,Y,NA,NA,NA,NA,N,NA,"broke off at surface, used hook spacing to est length",NA,'22416000372000000016','22416000372000001126',524,8,LONGLINER,1,NO PROBLEM,37.44,A023,162,N,1681.8,86,NA,60.24833,-178.15167,60.15333,-178.415,ATL,1126,B,0,29-Dec-21,62,PACIFIC SLEEPER SHARK,NA,7446,1,8.8,4,30.8,11-Jul-22,13-Jul-22,62_2018_22416_372_25_4,60.1710466322,-178.400742599
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-02-27,25,S,2,1,Y,NA,NA,NA,NA,NA,NA,Only shark in haul- dropped off line- not able to measure in hand,NA,'23989006323000000002','23989006323000000025',523,8,LONGLINER,1,NO PROBLEM,54.75,A660,167,N,1315.2,78,NA,56.59,-172.75,56.585,-172.77333,ATL,25,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,18300,1,12.14,3,42.07,11-Jul-22,13-Jul-22,62_2020_23989_6323_25_5,56.5529567938,-172.629801221
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-03-05,31,M,2,1,Y,NA,NA,NA,NA,NA,NA,Only shark in haul- dropped off line- not able to measure in hand,NA,'23989006323000000002','23989006323000000031',521,8,LONGLINER,1,NO PROBLEM,49.46,A660,167,N,1378.2,72,NA,56.74333,-172.82,56.90667,-172.865,ATL,31,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,18225,1,12.14,3,42.07,11-Jul-22,13-Jul-22,62_2020_23989_6323_31_6,56.8973144976,-172.811922553
23129,372,2019,Sarah Atkins,US Liberator,NA,2019-01-28,38,L,9,1,NA,NA,NA,NA,NA,N,NA,NA,NA,'23129000372000000009','23129000372000000400',521,8,LONGLINER,1,NO PROBLEM,18.89,A023,162,N,1555.2,54,NA,57.545,-171.33333,57.29,-171.53333,ATL,400,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3930,1,0,7,97.53,11-Jul-22,13-Jul-22,62_2019_23129_372_38_7,57.3659240212,-171.566190503
23129,372,2019,Sarah Atkins,US Liberator,NA,2019-01-30,42,M,10,1,NA,NA,NA,NA,NA,N,NA,NA,NA,'23129000372000000009','23129000372000000408',521,8,LONGLINER,1,NO PROBLEM,37.53,A023,162,N,1308,50,NA,57.37,-171.275,57.65,-171.09833,ATL,408,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3924,1,0,7,102.18,11-Jul-22,13-Jul-22,62_2019_23129_372_42_8,57.6190098425,-171.092876517
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-03-23,45,S,2,1,Y,1,N,12.03,107,N,NA,Only shark in haul. Brought up by rollerman (?) and measured in hand,NA,'23989006323000000004','23989006323000000045',521,8,LONGLINER,8,CONSIDERABLE KILLER WHALE PR,52.28,A660,167,N,1413,74,NA,59.11667,-176,59.11667,-176.02333,ATL,45,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,14784,1,12.03,4,53.6,11-Jul-22,13-Jul-22,62_2020_23989_6323_45_9,59.1759036914,-176.036056827
24346,511,2020,Ryan Partain,Great Pacific,NA,2020-07-08,45,S,1,1,Y,2,N,42.02,NA,N,NA,"entanged in codend rope, not all data collected",NA,'24346000511000000012','24346000511000000012',509,2,PELAGIC,1,NO PROBLEM,31,A382,124,N,750,54,44,55.81667,-164.86667,55.9,-164.98333,ATL,12,B,0,31-Mar-22,62,PACIFIC SLEEPER SHARK,NA,160,1,42.02,1,42.02,11-Jul-22,13-Jul-22,62_2020_24346_511_45_10,55.8676642175,-164.896083078
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-01,46,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,'22536006323000000018','22536006323000000664',521,8,LONGLINER,1,NO PROBLEM,14.12,A660,167,N,543,73,NA,59.57167,-175.5,59.585,-175.52667,ATL,664,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,10737,1,6.49,2,14.42,11-Jul-22,13-Jul-22,62_2018_22536_6323_46_11,59.6145987467,-175.685383421
24346,511,2020,Ryan Partain,Great Pacific,NA,2020-07-12,49,S,1,2,Y,2,N,5.2,66,Y,31,NA,NA,'24346000511000000012','24346000511000000016',519,2,PELAGIC,1,NO PROBLEM,9,A382,124,N,411,180,166,54.65,-165.63333,54.33333,-165.9,ATL,16,B,0,31-Mar-22,62,PACIFIC SLEEPER SHARK,NA,50,2,14.2,2,14.2,11-Jul-22,13-Jul-22,62_2020_24346_511_49_12,54.4076752114,-165.833839756
24346,511,2020,Ryan Partain,Great Pacific,NA,2020-07-12,49,S,1,2,Y,2,N,9,87,Y,31,NA,NA,'24346000511000000012','24346000511000000016',519,2,PELAGIC,1,NO PROBLEM,9,A382,124,N,411,180,166,54.65,-165.63333,54.33333,-165.9,ATL,16,B,0,31-Mar-22,62,PACIFIC SLEEPER SHARK,NA,50,2,14.2,2,14.2,11-Jul-22,13-Jul-22,62_2020_24346_511_49_13,54.4076752114,-165.833839756
25333,4635,2022,Alejandra Palacios (?),Defender,NA,2022-02-25,50,M,NA,1,NA,2,N,NA,NA,N,NA,Total length collected only (184cm),NA,'25333004635000000008','25333004635000000051',521,1,NON PELAGIC,1,NO PROBLEM,5.64,A486,123,N,226.8,53,50,57.73167,-171.48833,57.57667,-171.45667,ATL,51,B,0,13-May-22,62,PACIFIC SLEEPER SHARK,NA,203,1,63.82,1,63.82,11-Jul-22,13-Jul-22,62_2022_25333_4635_50_14,57.665703056,-171.417073533
23175,33989,2019,Tyler Allen,Blue North,NA,2019-02-16,53,M,"2,10",1,NA,NA,NA,NA,NA,N,NA,Deck form pg. 167,NA,'23175033989000000024','23175033989000002178',521,8,LONGLINER,1,NO PROBLEM,27.69,77788,191,N,1225.2,58,NA,58.68333,-172.365,58.685,-173.00167,ATL,2178,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,11466,1,0,3,41.8,11-Jul-22,13-Jul-22,62_2019_23175_33989_53_15,58.6607023552,-172.867456711
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-03-31,54,S,2,1,Y,NA,NA,NA,NA,NA,NA,Only shark in haul- dropped off line- not able to measure in hand,NA,'23989006323000000004','23989006323000000054',521,8,LONGLINER,1,NO PROBLEM,44.01,A660,167,N,1350,72,NA,58.78,-175.82167,58.76667,-175.89167,ATL,54,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,22176,1,12.14,3,35.06,11-Jul-22,13-Jul-22,62_2020_23989_6323_54_16,58.8374055341,-175.809625765
24304,3011,2020,Lauren Kabot,Ocean Explorer,NA,2020-06-24,60,S,NA,1,NA,NA,NA,5.2,82,NA,NA,"Photos: 0102-0105, forgot to look at sex, might be in photo",NA,'24304003011000000001','24304003011000000005',519,2,PELAGIC,1,NO PROBLEM,30,A004,155,N,400.2,140,128,54.68444,-165.49694,54.41194,-165.75472,ATL,5,B,0,24-Jun-20,62,PACIFIC SLEEPER SHARK,NA,150,1,5.2,1,5.2,11-Jul-22,13-Jul-22,62_2020_24304_3011_60_17,54.4076752114,-165.833839756
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-16,61,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,'22536006323000000018','22536006323000000696',521,8,LONGLINER,1,NO PROBLEM,56.5,A660,167,N,2020.2,74,NA,59.14833,-175.39833,59.30667,-175.375,ATL,696,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,21672,3,19.47,10,62.74,11-Jul-22,13-Jul-22,62_2018_22536_6323_61_18,59.2755659646,-175.459530884
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-16,61,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,'22536006323000000018','22536006323000000696',521,8,LONGLINER,1,NO PROBLEM,56.5,A660,167,N,2020.2,74,NA,59.14833,-175.39833,59.30667,-175.375,ATL,696,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,21672,3,19.47,10,62.74,11-Jul-22,13-Jul-22,62_2018_22536_6323_61_19,59.2755659646,-175.459530884
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-03-16,61,M,2,NA,Y,NA,NA,NA,NA,N,NA,est by dist between gangions,NA,'22536006323000000018','22536006323000000696',521,8,LONGLINER,1,NO PROBLEM,56.5,A660,167,N,2020.2,74,NA,59.14833,-175.39833,59.30667,-175.375,ATL,696,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,21672,3,19.47,10,62.74,11-Jul-22,13-Jul-22,62_2018_22536_6323_61_20,59.2755659646,-175.459530884
24342,417,2020,Josephine Padgett,Starward,NA,2020-07-16,69,S,NA,2,Y,2,NA,15,95,Y,"69001, 69002","Both same length, this one weighed more",NA,'24342000417000000012','24342000417000000021',521,2,PELAGIC,1,NO PROBLEM,40,A138,123,N,576,59,50,57.7,-172.34833,57.69667,-172.34333,ATL,21,B,100,16-Jul-20,62,PACIFIC SLEEPER SHARK,NA,131,2,25.6,2,25.6,11-Jul-22,13-Jul-22,62_2020_24342_417_69_21,57.6284016315,-172.302914654
24342,417,2020,Josephine Padgett,Starward,NA,2020-07-16,69,S,NA,2,Y,2,NA,NA,95,NA,NA,NA,NA,'24342000417000000012','24342000417000000021',521,2,PELAGIC,1,NO PROBLEM,40,A138,123,N,576,59,50,57.7,-172.34833,57.69667,-172.34333,ATL,21,B,100,16-Jul-20,62,PACIFIC SLEEPER SHARK,NA,131,2,25.6,2,25.6,11-Jul-22,13-Jul-22,62_2020_24342_417_69_22,57.6284016315,-172.302914654
22350,4463,2018,Tyler Allen,Clipper Eric,NA,2018-02-19,70,M,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,'22350004463000000016','22350004463000001256',513,8,LONGLINER,1,NO PROBLEM,40.25,A580,172,N,1435.2,54,NA,56.45667,-166.87833,56.65333,-166.87833,ATL,1256,B,0,29-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3852,1,0,5,64.08,11-Jul-22,13-Jul-22,62_2018_22350_4463_70_23,56.5846336136,-166.834261533
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-04-20,71,S,2,1,Y,NA,NA,NA,NA,NA,NA,Only shark in haul- dropped off line- not able to measure in hand,NA,'23989006323000000005','23989006323000000071',521,8,LONGLINER,1,NO PROBLEM,65.04,A660,167,N,1324.2,67,NA,58.98667,-174.035,58.98667,-174.035,ATL,71,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,20448,1,12.14,3,35.06,11-Jul-22,13-Jul-22,62_2020_23989_6323_71_24,58.95499746,-173.98162971
22569,29997,2018,Lauren Eaken,Bering Leader,NA,2018-04-10,76,S,13,1,Y,NA,NA,NA,NA,N,NA,NA,NA,'22569029997000000017','22569029997000000478',521,8,LONGLINER,1,NO PROBLEM,57.27,A697,124,N,2010,69,NA,59.00333,-174.25833,58.99833,-174.28167,ATL,478,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,21660,1,0,3,38.45,11-Jul-22,13-Jul-22,62_2018_22569_29997_76_25,58.9940687943,-174.32215175
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-04-25,76,S,2,1,Y,2,N,12.24,97,N,NA,Only shark in haul. Brought up by dipnetter and measured and weighed in hand.,NA,'23989006323000000005','23989006323000000076',521,8,LONGLINER,1,NO PROBLEM,33.01,A660,167,N,1422,61,NA,58.91167,-173.11833,58.86167,-173.21833,ATL,76,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,20124,1,12.24,3,40.45,11-Jul-22,13-Jul-22,62_2020_23989_6323_76_26,58.874174162,-173.302967705
24304,3011,2020,Lauren Kabot,Ocean Explorer,NA,2020-07-07,76,S,NA,1,NA,NA,NA,NA,100,NA,NA,Photos: 0111-0113 could not weigh,NA,'24304003011000000005','24304003011000000021',517,2,PELAGIC,1,NO PROBLEM,50,A004,155,N,639,123,110,54.44222,-165.67611,54.52722,-165.63278,ATL,21,B,0,7-Jul-20,62,PACIFIC SLEEPER SHARK,NA,236,1,12.01,1,12.01,11-Jul-22,13-Jul-22,62_2020_24304_3011_76_27,54.5235072258,-165.598110996
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-05-01,82,M,2,1,Y,NA,NA,NA,NA,NA,NA,Only shark in haul- dropped off line- not able to measure in hand,NA,'23989006323000000005','23989006323000000082',521,8,LONGLINER,1,NO PROBLEM,51.89,A660,167,N,1323,62,NA,59.11667,-173.78333,59.11667,-173.72667,ATL,82,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,22460,1,12.14,3,33.98,11-Jul-22,13-Jul-22,62_2020_23989_6323_82_28,59.086132331,-173.743937666
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-04-13,91,S,NA,NA,Y,1,NA,6.49,80,N,NA,NA,NA,'22536006323000000019','22536006323000000754',521,8,LONGLINER,1,NO PROBLEM,49.12,A660,167,N,1566,61,NA,58.21,-173.535,58.20833,-173.57,ATL,754,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,14400,1,6.49,4,23.8,11-Jul-22,13-Jul-22,62_2018_22536_6323_91_29,58.270699806,-173.576351757
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-09,99,L,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001898',521,8,LONGLINER,1,NO PROBLEM,45.25,A715,184,N,1317,66,NA,59.40667,-174.51833,59.315,-174.505,ATL,1898,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,14688,2,0,6,90.56,11-Jul-22,13-Jul-22,62_2019_23410_33320_99_30,59.3350625928,-174.534642509
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-09,99,M,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001898',521,8,LONGLINER,1,NO PROBLEM,45.25,A715,184,N,1317,66,NA,59.40667,-174.51833,59.315,-174.505,ATL,1898,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,14688,2,0,6,90.56,11-Jul-22,13-Jul-22,62_2019_23410_33320_99_31,59.3350625928,-174.534642509
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,101,S,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001902',521,8,LONGLINER,1,NO PROBLEM,26.9,A715,184,N,1255.2,64,NA,59.67167,-174.64833,59.32333,-174.37167,ATL,1902,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,11025,3,0,9,130.04,11-Jul-22,13-Jul-22,62_2019_23410_33320_101_32,59.3350625928,-174.534642509
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,101,M,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001902',521,8,LONGLINER,1,NO PROBLEM,26.9,A715,184,N,1255.2,64,NA,59.67167,-174.64833,59.32333,-174.37167,ATL,1902,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,11025,3,0,9,130.04,11-Jul-22,13-Jul-22,62_2019_23410_33320_101_33,59.3350625928,-174.534642509
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,101,L,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001902',521,8,LONGLINER,1,NO PROBLEM,26.9,A715,184,N,1255.2,64,NA,59.67167,-174.64833,59.32333,-174.37167,ATL,1902,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,11025,3,0,9,130.04,11-Jul-22,13-Jul-22,62_2019_23410_33320_101_34,59.3350625928,-174.534642509
25343,3672,2022,Rory Morgan,Frontier Mariner,NA,2022-03-04,101,M,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,'25343003672000000004','25343003672000000101',521,8,LONGLINER,1,NO PROBLEM,18.08,A100,135,N,1147.2,68,NA,57.815,-173.38333,57.815,-173.38333,ATL,101,L,0,12-Jul-22,62,PACIFIC SLEEPER SHARK,NA,4935,1,19.01,3,58.83,11-Jul-22,13-Jul-22,62_2022_25343_3672_101_35,57.7564314711,-173.282719769
22769,4450,2018,Daniel Warren,Frontier Explorer,NA,2018-06-14,102,S,10,1,Y,NA,NA,NA,NA,N,NA,NA,haul not in obs db,'22769004450000000018','22769004450000001272',517,8,LONGLINER,5,OTHER PROBLEM,9.84,A553,135,N,865.8,111,NA,55.02167,-167.43333,55.13333,-167.15,ATL,1272,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,6318,1,16.08,3,50.63,11-Jul-22,13-Jul-22,62_2018_22769_4450_102_36,55.1738280469,-167.182541023
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,103,S,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001904',521,8,LONGLINER,1,NO PROBLEM,9.61,A715,184,N,207,64,NA,59.57333,-174.48667,59.57833,-174.48667,ATL,1904,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3675,3,0,9,125.4,11-Jul-22,13-Jul-22,62_2019_23410_33320_103_37,59.6377116406,-174.403501136
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-10,103,M,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001904',521,8,LONGLINER,1,NO PROBLEM,9.61,A715,184,N,207,64,NA,59.57333,-174.48667,59.57833,-174.48667,ATL,1904,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3675,3,0,9,125.4,11-Jul-22,13-Jul-22,62_2019_23410_33320_103_38,59.6377116406,-174.403501136
